Species	Order	Family	Genus	AdultBodyMassGrams	SexualMaturityAgeDays	MaxLongevity	LitterSize	LittersPerYear	BasalMetRate	Temp_Mean_01degC
Rattus_norvegicus	Rodentia	Muridae	Rattus	282.89	55.23	45.6	8.99	3.5	NA	NA
Rattus_rattus	Rodentia	Muridae	Rattus	142.68	115.29	50.4	5.88	3.75	NA	NA
Rhinolophus_ferrumequinum	Chiroptera	Rhinolophidae	Rhinolophus	22.59	827.69	366	0.98	1	NA	10.869
Rhinopithecus_bieti	Primates	Cercopithecidae	Rhinopithecus	11000.54	755.15	NA	1	0.5	NA	2.558
Rhinopithecus_roxellana	Primates	Cercopithecidae	Rhinopithecus	13456.8	NA	354	1	NA	NA	9.01
Rousettus_aegyptiacus	Chiroptera	Pteropodidae	Rousettus	134	315.68	274.8	1.07	2	122.64	22.626
Saimiri_boliviensis_boliviensis	Primates	Cebidae	Saimiri	799.45	NA	363.6	1.02	NA	NA	24.287
Sapajus_apella	Primates	Cebidae	Sapajus	2758.38	1760.81	541.2	1.05	0.6	NA	24.117
Sarcophilus_harrisii	Dasyuromorphia	Dasyuridae	Sarcophilus	8202.25	777.31	156	2.88	1	1617	10.427
Sorex_araneus	Eulipotyphla	Soricidae	Sorex	9.18	312.9	38.4	6.56	2	60.23	1.032
Sturnira_hondurensis	Chiroptera	Phyllostomidae	Sturnira	20	NA	NA	NA	NA	NA	NA
Suncus_etruscus	Eulipotyphla	Soricidae	Suncus	2.26	365	38.4	4	3.4	NA	16.39
Suricata_suricatta	Carnivora	Herpestidae	Suricata	729.99	377.37	247.2	3.86	1	290.12	17.581
Sus_scrofa	Artiodactyla	Suidae	Sus	84471.54	350.76	324	4.52	1.5	NA	11.691
Tachyglossus_aculeatus	Monotremata	Tachyglossidae	Tachyglossus	4499.97	556.85	600	1	1	414.04	20.986
Talpa_occidentalis	Eulipotyphla	Talpidae	Talpa	49.47	371.03	NA	NA	NA	NA	13.067
Theropithecus_gelada	Primates	Cercopithecidae	Theropithecus	15964.11	1894.11	432	1.01	0.5	NA	17.339
Trachypithecus_francoisi	Primates	Cercopithecidae	Trachypithecus	8139.93	1460	315.6	1	1	NA	18.752
Trichechus_manatus_latirostris	Sirenia	Trichechidae	Trichechus	467324.83	1887.88	828	1.22	0.4	NA	NA
