sort.order,taxA,taxB,taxA.prop.genera,taxB.prop.genera,spp.A,spp.B,Height.A,Height.B,nuclear.all.A,nuclear.all.B,cp.dN.hyphy.A,cp.dS.hyphy.A,cp.dN.hyphy.B,cp.dS.hyphy.B,LAT.A,LAT.B,TEMP.A,TEMP.B,UV.A,UV.B
57,Ixerbaceae,Aphloiaceae,1,1,1,1,9.210340372,9.903487553,0.014451,0.0268,0.017914,0.108398,0.037596,0.285155,38.8339042,15.64613408,123.2572438,228.9196909,2500.228633,4866.221592
58,Grossulariaceae,Saxifragaceae,1,0.3225806,150,580,7.35075892,6.115508386,0.017404,0.015467,0.023713,0.185363,0.01252,0.162562,48.18968855,39.7800013,38.51491472,94.58763797,2153.864769,2928.810722
59,Balanopaceae,Chrysobalanaceae,1,0.44,12,400,9.61580548,9.556191605,0.014014,0.046659,0.025156,0.090955,0.011916,0.371184,16.35348998,14.08280618,251.0766614,230.3505589,5139.10262,4771.194695
60,Corynocarpaceae,Coriariaceae,1,1,5,15,9.871218292,7.257942774,0.011621,0.030869,0.028331,0.071178,0.012495,0.139012,11.02207436,26.78650406,246.0935741,163.3809682,4954.302721,3995.77905
61,Anacardiaceae,Burseraceae,0.3285714,0.5,600,500,9.688785792,10.06961371,0.002111,0.006538,0.007738,0.223007,0.021174,0.177161,21.97788859,16.52199788,200.8088463,230.2078178,4348.14587,4772.077704
63,Violaceae,Passifloraceae,0.3,0.137931,900,530,7.862648868,8.272664159,0.033006,0.018562,0.021476,0.321072,0.037562,0.267063,32.70233552,14.86221171,136.8895332,234.1507888,3532.966691,4914.425272
64,Alliaceae,Asparagaceae,0.1777778,0.2113821,600,370,6.129105511,6.598067628,0.075471,0.011711,0.010437,0.212851,0.020381,0.162526,32.09625632,25.15614688,142.5753387,192.8847485,3462.905123,4263.162798
65,Haloragaceae,Crassulaceae,0.5454545,0.2564103,120,1500,6.372900862,5.957171041,0.03573,0.035405,0.028508,0.269888,0.027445,0.628344,34.21193287,40.43076645,127.0748845,93.64668586,3298.956133,2910.254085
66,Humiriaceae,Ochnaceae,0.5,0.1612903,50,600,10.40049307,9.102518212,0.018152,0.021895,0.006115,0.096737,0.016674,0.212812,9.660389335,NA,239.7694925,NA,4951.721886,NA
67,Burmanniaceae,Dioscoreaceae,0.1333333,0.5,125,750,3.859342748,7.630348218,0.115306,0.035896,0.037965,0.896832,0.012069,0.31891,16.01734713,18.9780966,226.0997926,210.2348863,4774.362839,4346.261548
68,Rutaceae,Simaroubaceae,0.2638037,0.45,900,50,8.614748222,9.424572861,0.011474,0.002232,0.024657,0.273055,0.020089,0.175311,20.33976283,15.66337452,218.0311982,233.3648747,4560.347259,4844.144609
69,Tamaricaceae,Frankeniaceae,0.4,0.2,120,90,8.26087285,5.010635294,0.018244,0.022591,0.015288,0.206253,0.013246,0.330638,33.74110528,27.65909908,151.0208294,185.9684487,3603.980735,4091.747888
70,Velloziaceae,Stemonaceae,0.2,0.25,270,23,7.130590801,6.214608098,0.030503,0.019743,0.022551,0.364069,0.009913,0.206756,10.66190342,13.49313217,233.0054804,252.1880538,5135.184308,4815.075971
71,Plumbaginaceae,Polygonaceae,0.16,0.3265306,775,800,6.520792915,7.573478195,0.029893,0.023787,0.055895,0.297782,0.0268,0.215384,32.95564239,46.32176334,133.3029973,60.97699835,3488.507149,2395.641148
72,Argophyllaceae,Alseuosmiaceae,0.5,0.6666667,20,11,8.176642776,8.150208604,0.008786,0.032011,0.013561,0.148803,0.011418,0.177027,28.79070691,28.05330374,186.346668,170.8645137,3865.077813,3598.071764
73,Pandanaceae,Cyclanthaceae,0.3333333,0.1666667,700,180,9.13169948,7.702268737,0.014957,0.012562,0.031468,0.183884,0.008905,0.087654,10.8779833,10.58794911,250.6210678,236.1044315,4954.142711,4852.192251
74,Moraceae,Cannabaceae,0.5348837,0.7142857,1400,3,9.6842771,9.72084099,0.025215,0.010637,0.025732,0.159442,0.012185,0.226364,23.46041506,23.16100121,193.3506067,190.8817123,4293.189646,4136.499085
76,Myricaceae,Juglandaceae,0.6666667,0.6666667,40,50,8.020235603,10.04421199,0.01604,0.007026,0.016247,0.111509,0.007949,0.088006,26.16387387,24.407132,162.9442732,182.869005,3788.541151,4009.995419
77,Phyllonomaceae,Helwingiaceae,0,1,8,5,NA,7.313220387,0.021228,0.013241,0.011488,0.111726,0.012802,0.121518,10.49467679,28.66433835,210.8700251,162.7148067,5266.456544,3722.953746
80,Marcgraviaceae,Tetrameristaceae,0.2,0.6666667,100,4,10.30895266,10.10622011,0.0113,0.009441,0.023553,0.059137,0.010326,0.141178,12.45395706,4.93439014,231.3004985,245.416787,4783.364002,4919.091159
